booking_id,booking_date,checkin_date,channel_id,Channel Name,rate_code,gross_revenue,Commission Rate,commission_amount,net_revenue,booking_status
34,10/10/2025,13/10/2025,4,#REF!,PROMO10,0.00,#REF!,0.00,93.05,cancelled
35,20/11/2025,24/11/2025,4,#REF!,CORP,"4,307.40",#REF!,60.83,"2,382.51",confirmed
36,19/10/2025,22/10/2025,2,#REF!,FLASH,"3,958.20",#REF!,520.93,"5,052.68",confirmed
37,9/12/2025,10/12/2025,2,#REF!,CORP,0.00,#REF!,0.00,0.00,cancelled
38,7/11/2025,8/11/2025,3,#REF!,CORP,"5,154.30",#REF!,0.00,"5,867.40",confirmed
39,17/10/2025,18/10/2025,2,#REF!,RACK,0.00,#REF!,0.00,0.00,cancelled
40,20/10/2025,24/10/2025,2,#REF!,CORP,"5,218.20",#REF!,6.03,"4,597.09",confirmed
41,4/12/2025,8/12/2025,3,#REF!,PROMO10,0.00,#REF!,0.00,26.36,cancelled
42,7/11/2025,11/11/2025,2,#REF!,FLASH,0.00,#REF!,51.60,0.00,cancelled
43,14/12/2025,19/12/2025,2,#REF!,RACK,0.00,#REF!,0.00,0.00,cancelled
44,22/10/2025,23/10/2025,1,#REF!,PROMO10,0.00,#REF!,0.00,27.47,cancelled
45,7/11/2025,12/11/2025,2,#REF!,PROMO20,0.00,#REF!,0.00,0.00,cancelled
46,14/10/2025,18/10/2025,1,#REF!,PROMO20,"7,111.00",#REF!,12.15,"4,316.28",confirmed
47,10/10/2025,12/10/2025,4,#REF!,FLASH,0.00,#REF!,0.00,111.47,cancelled
48,29/12/2025,3/1/2026,1,#REF!,RACK,"4,123.80",#REF!,56.79,"2,265.63",confirmed
49,26/12/2025,28/12/2025,2,#REF!,PROMO10,"6,958.90",#REF!,965.70,"4,341.44",confirmed
50,3/11/2025,6/11/2025,1,#REF!,CORP,0.00,#REF!,0.00,0.00,cancelled
51,9/10/2025,11/10/2025,4,#REF!,PROMO10,"5,236.40",#REF!,"3,545.00",640.44,confirmed
52,16/11/2025,19/11/2025,1,#REF!,PROMO20,0.00,#REF!,27.12,9.50,cancelled
53,27/10/2025,31/10/2025,2,#REF!,PROMO20,0.00,#REF!,0.00,16.91,cancelled
54,8/12/2025,13/12/2025,3,#REF!,CORP,"5,675.00",#REF!,0.00,"5,598.51",confirmed
55,19/11/2025,24/11/2025,1,#REF!,PROMO20,0.00,#REF!,39.43,0.00,cancelled
56,16/10/2025,20/10/2025,4,#REF!,PROMO20,"3,427.90",#REF!,"1,034.36","1,809.13",confirmed
57,20/11/2025,24/11/2025,1,#REF!,PROMO20,"2,692.20",#REF!,0.00,"2,136.47",confirmed
58,18/12/2025,19/12/2025,2,#REF!,CORP,"3,291.40",#REF!,0.00,"3,754.15",confirmed
59,8/11/2025,10/11/2025,4,#REF!,FLASH,"5,160.00",#REF!,"1,126.14","3,170.95",confirmed
60,2/12/2025,6/12/2025,1,#REF!,CORP,0.00,#REF!,0.00,0.00,cancelled
61,10/11/2025,11/11/2025,4,#REF!,CORP,0.00,#REF!,0.00,142.06,cancelled
62,9/10/2025,12/10/2025,1,#REF!,RACK,0.00,#REF!,0.32,207.09,cancelled
63,29/10/2025,30/10/2025,4,#REF!,PROMO10,"5,131.80",#REF!,"1,218.22","3,445.53",confirmed
64,4/12/2025,8/12/2025,4,#REF!,RACK,"4,135.00",#REF!,"1,000.88","1,571.24",confirmed
65,29/12/2025,2/1/2026,1,#REF!,RACK,0.00,#REF!,0.00,128.11,cancelled
66,24/12/2025,28/12/2025,4,#REF!,PROMO20,0.00,#REF!,0.00,77.31,cancelled
67,22/11/2025,27/11/2025,2,#REF!,RACK,0.00,#REF!,6.08,120.79,cancelled
68,29/11/2025,2/12/2025,4,#REF!,CORP,0.00,#REF!,0.00,0.00,cancelled
69,24/10/2025,26/10/2025,1,#REF!,PROMO10,0.00,#REF!,6.39,0.00,cancelled
70,30/10/2025,3/11/2025,3,#REF!,PROMO20,0.00,#REF!,0.00,0.00,cancelled
71,27/11/2025,29/11/2025,4,#REF!,PROMO20,"4,570.20",#REF!,382.37,"1,987.17",confirmed
72,9/10/2025,13/10/2025,1,#REF!,PROMO10,"3,762.00",#REF!,27.08,"1,856.74",confirmed
73,25/11/2025,26/11/2025,1,#REF!,PROMO20,"3,824.80",#REF!,0.00,"2,577.15",confirmed
74,20/12/2025,23/12/2025,2,#REF!,RACK,"4,830.80",#REF!,"1,629.69","3,084.38",confirmed
75,14/10/2025,18/10/2025,4,#REF!,PROMO10,0.00,#REF!,16.95,99.66,cancelled
76,17/11/2025,19/11/2025,3,#REF!,PROMO20,0.00,#REF!,0.00,21.09,cancelled
77,22/11/2025,27/11/2025,2,#REF!,PROMO20,0.00,#REF!,0.00,164.08,cancelled
78,16/12/2025,19/12/2025,1,#REF!,PROMO20,"3,954.30",#REF!,0.00,"5,800.38",confirmed
79,17/12/2025,18/12/2025,1,#REF!,CORP,0.00,#REF!,0.00,9.04,cancelled
80,2/12/2025,5/12/2025,1,#REF!,PROMO20,"4,577.30",#REF!,56.28,"3,559.80",confirmed
81,14/11/2025,16/11/2025,1,#REF!,PROMO10,0.00,#REF!,66.95,0.00,cancelled
82,8/12/2025,10/12/2025,1,#REF!,CORP,0.00,#REF!,0.00,90.96,cancelled
83,23/10/2025,24/10/2025,3,#REF!,FLASH,0.00,#REF!,0.00,0.00,cancelled
84,25/12/2025,26/12/2025,4,#REF!,PROMO20,"4,833.00",#REF!,"1,213.34","1,963.49",confirmed
85,4/10/2025,6/10/2025,1,#REF!,RACK,"5,862.00",#REF!,0.00,"4,698.96",confirmed
86,10/11/2025,12/11/2025,1,#REF!,RACK,0.00,#REF!,5.72,55.15,cancelled
87,20/12/2025,23/12/2025,2,#REF!,PROMO10,"3,221.40",#REF!,897.07,"5,382.90",confirmed
88,28/10/2025,2/11/2025,1,#REF!,PROMO10,0.00,#REF!,71.38,0.00,cancelled
89,26/12/2025,29/12/2025,1,#REF!,RACK,"5,281.90",#REF!,72.37,"2,074.55",confirmed
90,8/12/2025,9/12/2025,3,#REF!,RACK,"5,605.00",#REF!,"4,573.99","3,518.87",confirmed
91,17/12/2025,19/12/2025,2,#REF!,PROMO20,0.00,#REF!,0.00,85.41,cancelled
92,13/11/2025,15/11/2025,2,#REF!,PROMO10,0.00,#REF!,22.65,0.00,cancelled
93,21/11/2025,25/11/2025,3,#REF!,PROMO20,0.00,#REF!,39.41,0.00,cancelled
94,25/10/2025,27/10/2025,4,#REF!,CORP,"4,537.00",#REF!,0.00,973.18,confirmed
95,16/11/2025,18/11/2025,2,#REF!,RACK,"3,404.80",#REF!,"2,231.52","3,971.02",confirmed
96,6/10/2025,9/10/2025,1,#REF!,PROMO20,"4,919.00",#REF!,0.00,"3,938.96",confirmed
97,22/12/2025,24/12/2025,2,#REF!,RACK,"5,066.10",#REF!,0.00,"4,046.61",confirmed
98,28/11/2025,1/12/2025,4,#REF!,RACK,"4,509.00",#REF!,651.06,"3,005.66",confirmed
99,10/12/2025,14/12/2025,1,#REF!,CORP,"3,596.40",#REF!,48.24,"3,919.30",confirmed
100,18/11/2025,23/11/2025,2,#REF!,PROMO10,"4,250.00",#REF!,494.21,"2,936.87",confirmed
101,29/10/2025,3/11/2025,1,#REF!,FLASH,"4,113.00",#REF!,99.18,"3,900.29",confirmed
102,23/12/2025,26/12/2025,2,#REF!,CORP,"4,338.00",#REF!,24.40,"4,423.35",confirmed
103,17/11/2025,22/11/2025,4,#REF!,FLASH,"4,167.00",#REF!,668.13,"1,786.46",confirmed
104,27/11/2025,30/11/2025,2,#REF!,RACK,"5,319.90",#REF!,"2,620.19","3,847.35",confirmed
105,15/12/2025,16/12/2025,4,#REF!,RACK,"5,281.00",#REF!,"2,914.82","2,169.85",confirmed
106,14/12/2025,19/12/2025,3,#REF!,FLASH,0.00,#REF!,0.00,0.00,cancelled
107,18/11/2025,23/11/2025,4,#REF!,PROMO20,"5,391.90",#REF!,"1,274.08","4,677.55",confirmed
108,12/10/2025,16/10/2025,3,#REF!,CORP,"3,813.30",#REF!,0.00,"3,514.77",confirmed
109,16/12/2025,18/12/2025,3,#REF!,CORP,"4,674.80",#REF!,0.00,"2,961.95",confirmed
110,17/11/2025,19/11/2025,1,#REF!,PROMO20,0.00,#REF!,94.89,0.00,cancelled
111,24/11/2025,29/11/2025,4,#REF!,PROMO10,"3,816.40",#REF!,"1,169.79","2,148.43",confirmed
112,2/10/2025,5/10/2025,1,#REF!,PROMO20,0.00,#REF!,0.00,91.48,cancelled
113,10/11/2025,14/11/2025,4,#REF!,PROMO20,"5,346.90",#REF!,"3,239.61","2,195.04",confirmed
114,31/10/2025,1/11/2025,1,#REF!,CORP,"2,990.40",#REF!,0.88,"2,208.86",confirmed
115,2/10/2025,6/10/2025,3,#REF!,FLASH,0.00,#REF!,29.72,57.44,cancelled
116,1/11/2025,6/11/2025,4,#REF!,FLASH,"5,141.70",#REF!,"3,115.40","4,431.50",confirmed
117,18/12/2025,23/12/2025,2,#REF!,PROMO10,0.00,#REF!,0.00,32.63,cancelled
118,9/10/2025,11/10/2025,3,#REF!,PROMO20,0.00,#REF!,25.61,123.92,cancelled
119,10/10/2025,11/10/2025,2,#REF!,PROMO10,0.00,#REF!,0.00,0.00,cancelled
120,9/11/2025,14/11/2025,2,#REF!,RACK,"3,299.10",#REF!,518.20,"3,142.81",confirmed
121,14/12/2025,18/12/2025,4,#REF!,CORP,"6,159.40",#REF!,51.82,"4,744.04",confirmed
122,13/12/2025,16/12/2025,4,#REF!,RACK,"3,128.30",#REF!,254.25,"1,755.41",confirmed
123,22/12/2025,24/12/2025,1,#REF!,FLASH,0.00,#REF!,54.06,0.00,cancelled
124,24/11/2025,25/11/2025,1,#REF!,CORP,0.00,#REF!,0.00,0.00,cancelled
125,4/11/2025,7/11/2025,2,#REF!,CORP,"5,172.30",#REF!,14.13,"4,521.61",confirmed
126,20/12/2025,21/12/2025,3,#REF!,CORP,0.00,#REF!,68.79,15.41,cancelled
127,25/11/2025,30/11/2025,1,#REF!,CORP,0.00,#REF!,11.41,0.00,cancelled
128,6/11/2025,10/11/2025,4,#REF!,PROMO10,"3,243.80",#REF!,"2,639.44","3,542.77",confirmed
129,7/10/2025,10/10/2025,1,#REF!,FLASH,"3,983.00",#REF!,0.00,"4,541.67",confirmed
130,19/12/2025,20/12/2025,2,#REF!,PROMO20,0.00,#REF!,4.98,7.18,cancelled
131,10/10/2025,15/10/2025,3,#REF!,FLASH,0.00,#REF!,0.00,120.82,cancelled
132,22/10/2025,25/10/2025,3,#REF!,CORP,0.00,#REF!,0.00,0.00,cancelled
133,31/10/2025,4/11/2025,4,#REF!,FLASH,"2,515.80",#REF!,"1,992.95","2,881.36",confirmed
134,4/10/2025,9/10/2025,2,#REF!,RACK,"4,585.00",#REF!,848.38,"3,697.55",confirmed
135,28/12/2025,31/12/2025,1,#REF!,PROMO20,0.00,#REF!,22.02,65.90,cancelled
136,20/10/2025,25/10/2025,2,#REF!,CORP,"5,695.00",#REF!,15.36,"4,509.78",confirmed
137,4/10/2025,5/10/2025,3,#REF!,PROMO20,"3,923.00",#REF!,798.34,"2,458.53",confirmed
138,13/11/2025,14/11/2025,2,#REF!,PROMO20,0.00,#REF!,50.27,0.00,cancelled
139,16/10/2025,19/10/2025,3,#REF!,RACK,"4,557.60",#REF!,"2,539.25",629.19,confirmed
140,8/10/2025,13/10/2025,1,#REF!,PROMO20,"4,444.20",#REF!,0.00,"3,977.92",confirmed
141,5/10/2025,8/10/2025,1,#REF!,RACK,0.00,#REF!,0.00,0.00,cancelled
142,11/10/2025,12/10/2025,1,#REF!,PROMO10,"4,762.80",#REF!,73.87,"4,515.71",confirmed
143,10/10/2025,11/10/2025,4,#REF!,PROMO20,"5,041.80",#REF!,"1,186.82","3,266.70",confirmed
144,29/10/2025,30/10/2025,1,#REF!,RACK,"7,737.60",#REF!,0.00,"3,008.42",confirmed
145,13/11/2025,16/11/2025,1,#REF!,CORP,"2,961.00",#REF!,0.00,"2,174.16",confirmed
146,3/12/2025,7/12/2025,4,#REF!,PROMO20,"5,354.00",#REF!,"2,952.74","3,421.10",confirmed
147,21/12/2025,23/12/2025,4,#REF!,PROMO20,"3,259.90",#REF!,"2,569.71","5,079.00",confirmed
148,5/10/2025,9/10/2025,2,#REF!,PROMO10,"4,158.70",#REF!,"4,213.24","6,853.74",confirmed
149,27/12/2025,29/12/2025,1,#REF!,RACK,0.00,#REF!,36.34,0.00,cancelled
150,16/10/2025,21/10/2025,2,#REF!,RACK,"4,709.70",#REF!,342.54,"4,271.39",confirmed
151,19/11/2025,23/11/2025,4,#REF!,PROMO10,0.00,#REF!,0.00,0.00,cancelled
152,13/12/2025,14/12/2025,1,#REF!,RACK,0.00,#REF!,25.57,104.99,cancelled
153,5/10/2025,6/10/2025,3,#REF!,RACK,"4,983.30",#REF!,"1,112.21",695.23,confirmed
154,1/10/2025,4/10/2025,4,#REF!,RACK,0.00,#REF!,26.92,0.00,cancelled
155,18/12/2025,20/12/2025,4,#REF!,CORP,"6,419.40",#REF!,17.81,"7,001.33",confirmed
156,14/11/2025,16/11/2025,1,#REF!,PROMO20,"4,045.00",#REF!,9.31,"4,167.74",confirmed
157,9/11/2025,14/11/2025,2,#REF!,RACK,"3,550.00",#REF!,575.55,"1,405.12",confirmed
158,27/10/2025,1/11/2025,2,#REF!,FLASH,"5,553.00",#REF!,549.93,905.15,confirmed
159,26/12/2025,28/12/2025,4,#REF!,FLASH,0.00,#REF!,0.00,46.81,cancelled
160,23/10/2025,24/10/2025,3,#REF!,PROMO20,"5,631.00",#REF!,660.67,"3,596.26",confirmed
161,28/10/2025,31/10/2025,2,#REF!,CORP,"3,877.00",#REF!,0.00,"1,800.18",confirmed
162,20/12/2025,25/12/2025,1,#REF!,RACK,"3,887.00",#REF!,3.17,"4,081.67",confirmed
163,22/11/2025,25/11/2025,2,#REF!,CORP,0.00,#REF!,0.00,36.98,cancelled
164,25/10/2025,29/10/2025,2,#REF!,CORP,"4,707.90",#REF!,6.04,"4,238.68",confirmed
165,10/10/2025,14/10/2025,2,#REF!,PROMO20,0.00,#REF!,0.00,0.00,cancelled
166,23/11/2025,24/11/2025,4,#REF!,PROMO20,0.00,#REF!,26.52,0.00,cancelled
167,9/10/2025,10/10/2025,4,#REF!,PROMO20,"4,352.40",#REF!,355.54,"5,376.72",confirmed
168,24/10/2025,27/10/2025,2,#REF!,RACK,"5,281.00",#REF!,"3,826.91","3,494.62",confirmed
169,6/12/2025,8/12/2025,2,#REF!,FLASH,0.00,#REF!,19.25,0.00,cancelled
170,18/11/2025,23/11/2025,4,#REF!,FLASH,"7,376.20",#REF!,"1,235.73","3,755.22",confirmed
171,25/10/2025,28/10/2025,1,#REF!,CORP,0.00,#REF!,25.75,0.00,cancelled
172,5/11/2025,7/11/2025,2,#REF!,CORP,0.00,#REF!,0.00,0.00,cancelled
173,25/11/2025,28/11/2025,2,#REF!,FLASH,"5,066.10",#REF!,735.06,"3,043.94",confirmed
174,5/12/2025,9/12/2025,1,#REF!,FLASH,0.00,#REF!,83.03,0.00,cancelled
175,21/11/2025,25/11/2025,2,#REF!,PROMO20,0.00,#REF!,14.71,0.00,cancelled
176,27/12/2025,1/1/2026,1,#REF!,RACK,"6,321.90",#REF!,0.00,"2,401.64",confirmed
177,25/11/2025,26/11/2025,4,#REF!,PROMO20,"3,849.00",#REF!,"2,101.87","3,070.43",confirmed
178,11/10/2025,12/10/2025,1,#REF!,PROMO20,"3,591.00",#REF!,50.13,"4,004.31",confirmed
179,12/10/2025,14/10/2025,3,#REF!,FLASH,"4,370.40",#REF!,547.45,"3,937.70",confirmed
180,7/10/2025,10/10/2025,2,#REF!,CORP,"5,087.70",#REF!,0.00,"4,507.42",confirmed
181,2/11/2025,4/11/2025,4,#REF!,CORP,"4,744.00",#REF!,16.37,851.85,confirmed
182,24/11/2025,27/11/2025,1,#REF!,RACK,0.00,#REF!,0.00,131.49,cancelled
183,27/11/2025,29/11/2025,2,#REF!,CORP,"4,786.00",#REF!,0.00,"2,341.99",confirmed
184,26/12/2025,28/12/2025,4,#REF!,FLASH,0.00,#REF!,2.80,0.00,cancelled
185,4/11/2025,6/11/2025,1,#REF!,RACK,0.00,#REF!,0.00,26.55,cancelled
186,24/11/2025,26/11/2025,4,#REF!,PROMO20,"4,579.90",#REF!,477.96,"1,333.07",confirmed
187,12/12/2025,13/12/2025,3,#REF!,RACK,0.00,#REF!,4.33,0.00,cancelled
188,20/12/2025,21/12/2025,2,#REF!,PROMO20,0.00,#REF!,0.00,0.00,cancelled
189,15/12/2025,20/12/2025,1,#REF!,CORP,0.00,#REF!,0.00,99.72,cancelled
190,15/12/2025,18/12/2025,1,#REF!,RACK,"3,492.30",#REF!,34.30,"3,862.17",confirmed
191,25/10/2025,27/10/2025,2,#REF!,PROMO10,"5,294.00",#REF!,954.89,"3,567.20",confirmed
192,22/10/2025,25/10/2025,3,#REF!,PROMO20,"3,766.50",#REF!,844.35,"2,697.53",confirmed
193,16/11/2025,19/11/2025,4,#REF!,PROMO20,0.00,#REF!,5.09,0.00,cancelled
194,31/10/2025,3/11/2025,4,#REF!,CORP,"3,974.40",#REF!,89.00,"4,582.17",confirmed
195,15/10/2025,19/10/2025,2,#REF!,PROMO20,"6,648.20",#REF!,984.91,"5,796.90",confirmed
196,13/10/2025,15/10/2025,1,#REF!,CORP,0.00,#REF!,0.00,0.00,cancelled
197,8/12/2025,13/12/2025,1,#REF!,PROMO20,0.00,#REF!,0.00,0.00,cancelled
198,18/11/2025,19/11/2025,1,#REF!,RACK,0.00,#REF!,71.45,50.84,cancelled
199,5/12/2025,8/12/2025,4,#REF!,RACK,0.00,#REF!,0.00,20.37,cancelled
200,23/11/2025,24/11/2025,4,#REF!,CORP,"4,583.70",#REF!,36.91,"3,877.56",confirmed
201,4/12/2025,9/12/2025,3,#REF!,PROMO20,0.00,#REF!,0.00,121.33,cancelled
202,19/12/2025,23/12/2025,1,#REF!,CORP,0.00,#REF!,0.00,53.37,cancelled
203,23/11/2025,27/11/2025,2,#REF!,PROMO20,"4,786.00",#REF!,808.34,"3,296.00",confirmed
204,5/11/2025,10/11/2025,1,#REF!,PROMO10,"3,641.00",#REF!,0.00,"2,914.00",confirmed
205,8/11/2025,10/11/2025,2,#REF!,PROMO20,0.00,#REF!,13.95,0.00,cancelled
206,18/10/2025,20/10/2025,3,#REF!,PROMO20,0.00,#REF!,45.35,58.61,cancelled
207,29/12/2025,30/12/2025,1,#REF!,RACK,0.00,#REF!,49.74,77.90,cancelled
208,30/11/2025,5/12/2025,2,#REF!,FLASH,0.00,#REF!,0.00,0.00,cancelled
209,20/10/2025,22/10/2025,2,#REF!,CORP,"4,222.00",#REF!,0.00,"4,049.46",confirmed
210,12/10/2025,14/10/2025,1,#REF!,PROMO10,"4,753.80",#REF!,23.49,"1,167.79",confirmed
211,24/12/2025,27/12/2025,1,#REF!,CORP,0.00,#REF!,0.00,7.39,cancelled
212,21/11/2025,23/11/2025,3,#REF!,RACK,0.00,#REF!,0.00,0.00,cancelled
213,28/10/2025,30/10/2025,1,#REF!,CORP,"3,843.00",#REF!,0.00,"2,897.48",confirmed
214,26/10/2025,28/10/2025,4,#REF!,PROMO10,0.00,#REF!,0.00,0.00,cancelled
215,8/10/2025,13/10/2025,1,#REF!,PROMO20,0.00,#REF!,0.00,18.21,cancelled
216,20/12/2025,22/12/2025,2,#REF!,PROMO10,0.00,#REF!,61.46,30.94,cancelled
217,9/11/2025,13/11/2025,3,#REF!,RACK,0.00,#REF!,0.00,114.02,cancelled
218,17/11/2025,18/11/2025,1,#REF!,FLASH,0.00,#REF!,75.29,0.00,cancelled
219,25/10/2025,29/10/2025,2,#REF!,FLASH,0.00,#REF!,33.16,111.87,cancelled
220,4/10/2025,7/10/2025,2,#REF!,PROMO10,"5,223.40",#REF!,481.02,"3,280.07",confirmed
1,29/10/2025,3/11/2025,1,#REF!,RACK,"5,274.00",#REF!,23.40,"1,165.52",confirmed
2,12/10/2025,13/10/2025,2,#REF!,FLASH,"4,937.00",#REF!,880.92,"3,177.45",confirmed
3,31/10/2025,2/11/2025,4,#REF!,PROMO20,"3,356.10",#REF!,297.14,"1,558.14",confirmed
4,28/11/2025,2/12/2025,3,#REF!,PROMO20,0.00,#REF!,0.00,0.00,cancelled
5,12/10/2025,14/10/2025,3,#REF!,RACK,"5,141.00",#REF!,399.03,"5,874.56",confirmed
6,6/10/2025,10/10/2025,1,#REF!,FLASH,"2,874.90",#REF!,49.44,"3,120.13",confirmed
7,9/11/2025,13/11/2025,3,#REF!,PROMO20,0.00,#REF!,0.00,0.00,cancelled
8,21/11/2025,23/11/2025,4,#REF!,CORP,"5,359.00",#REF!,1.40,"4,300.08",confirmed
9,15/12/2025,16/12/2025,1,#REF!,FLASH,"2,730.70",#REF!,20.86,838.39,confirmed
10,22/12/2025,23/12/2025,2,#REF!,PROMO10,0.00,#REF!,0.00,0.00,cancelled
11,1/12/2025,3/12/2025,1,#REF!,PROMO20,0.00,#REF!,0.00,0.00,cancelled
12,1/11/2025,4/11/2025,2,#REF!,FLASH,"3,945.90",#REF!,537.72,"3,802.63",confirmed
13,16/10/2025,20/10/2025,1,#REF!,FLASH,"4,770.00",#REF!,2.53,"3,878.71",confirmed
14,23/12/2025,28/12/2025,1,#REF!,RACK,0.00,#REF!,48.07,0.00,cancelled
15,15/12/2025,17/12/2025,2,#REF!,PROMO10,"4,443.00",#REF!,"2,050.70","3,503.38",confirmed
16,26/12/2025,31/12/2025,1,#REF!,FLASH,0.00,#REF!,35.09,0.00,cancelled
17,6/12/2025,11/12/2025,4,#REF!,RACK,"4,363.00",#REF!,898.51,"3,475.37",confirmed
18,3/12/2025,8/12/2025,1,#REF!,PROMO20,"3,993.00",#REF!,0.00,873.13,confirmed
19,11/10/2025,12/10/2025,2,#REF!,CORP,0.00,#REF!,0.00,77.46,cancelled
20,14/11/2025,19/11/2025,2,#REF!,CORP,"3,108.70",#REF!,1.79,"4,654.31",confirmed
21,12/11/2025,14/11/2025,3,#REF!,CORP,0.00,#REF!,9.02,0.00,cancelled
22,7/11/2025,10/11/2025,3,#REF!,PROMO20,0.00,#REF!,0.00,9.36,cancelled
23,23/10/2025,28/10/2025,4,#REF!,RACK,0.00,#REF!,52.01,0.00,cancelled
24,23/10/2025,26/10/2025,3,#REF!,PROMO10,"4,718.00",#REF!,532.88,"1,751.52",confirmed
25,19/10/2025,20/10/2025,4,#REF!,PROMO10,0.00,#REF!,0.00,0.00,cancelled
26,12/12/2025,17/12/2025,1,#REF!,RACK,0.00,#REF!,0.00,172.79,cancelled
27,23/12/2025,27/12/2025,3,#REF!,RACK,0.00,#REF!,0.00,65.44,cancelled
28,9/11/2025,14/11/2025,4,#REF!,PROMO10,"4,041.90",#REF!,963.27,692.99,confirmed
29,17/12/2025,20/12/2025,1,#REF!,PROMO20,"3,611.00",#REF!,0.00,"3,056.01",confirmed
30,18/11/2025,23/11/2025,4,#REF!,PROMO20,0.00,#REF!,13.68,0.00,cancelled
31,22/11/2025,24/11/2025,2,#REF!,PROMO10,"4,094.00",#REF!,701.05,"2,837.20",confirmed
32,2/10/2025,7/10/2025,3,#REF!,PROMO20,0.00,#REF!,0.00,241.13,cancelled
33,5/12/2025,10/12/2025,4,#REF!,PROMO20,"3,645.00",#REF!,740.71,"2,839.40",confirmed
34,10/10/2025,13/10/2025,4,#REF!,PROMO10,0.00,#REF!,0.00,19.67,cancelled
35,20/11/2025,24/11/2025,4,#REF!,CORP,"6,221.80",#REF!,0.00,"4,748.10",confirmed
36,19/10/2025,22/10/2025,2,#REF!,FLASH,"4,398.00",#REF!,"3,215.34","3,647.51",confirmed
37,9/12/2025,10/12/2025,2,#REF!,CORP,0.00,#REF!,0.00,41.63,cancelled
38,7/11/2025,8/11/2025,3,#REF!,CORP,"5,727.00",#REF!,19.71,"4,582.01",confirmed
39,17/10/2025,18/10/2025,2,#REF!,RACK,0.00,#REF!,0.00,0.00,cancelled
40,20/10/2025,24/10/2025,2,#REF!,CORP,"5,218.20",#REF!,0.00,"4,681.59",confirmed
